;DATE;HOME;AWAY;HALF_TIME_HOME_GOALS;HALF_TIME_AWAY_GOALS;FULL_TIME_HOME_GOALS;FULL_TIME_AWAY_GOALS;FULL_TIME_RESULT;MAX_HOME_ODDS;MAX_DRAW_ODDS;MAX_AWAY_ODDS;AVG_HOME_ODDS;AVG_DRAW_ODDS;AVG_AWAY_ODDS;MAX_INITIAL_HOME_ODDS;MAX_INITIAL_DRAW_ODDS;MAX_INITIAL_AWAY_ODDS;AVG_INITIAL_HOME_ODDS;AVG_INITIAL_DRAW_ODDS;AVG_INITIAL_AWAY_ODDS
79;18/10/2021;Arsenal;Crystal Palace;1;0;2;2;D;1,7;4,1;6,13;1,65;3,87;5,65;1,65;4,2;6,59;1,61;4;5,81
80;22/10/2021;Arsenal;Aston Villa;2;0;3;1;H;2,09;3,9;4,3;1,91;3,73;4,05;2,12;3,85;4,55;1,98;3,64;3,87
81;23/10/2021;Chelsea;Norwich;3;0;7;0;H;1,22;7,75;20;1,19;7,07;17,21;1,26;7,32;17,97;1,22;6,51;14,53
82;23/10/2021;Crystal Palace;Newcastle;0;0;1;1;D;2,05;3,78;4,05;1,97;3,61;3,88;2;3,69;4,62;1,91;3,54;4,24
83;23/10/2021;Everton;Watford;1;1;2;5;A;1,72;4,08;5,79;1,67;3,86;5,49;1,87;3,87;5,25;1,79;3,62;4,84
84;23/10/2021;Leeds;Wolves;0;1;1;1;D;2,68;3,52;2,98;2,57;3,37;2,79;2,64;3,6;3,15;2,44;3,4;2,96
85;23/10/2021;Southampton;Burnley;1;1;2;2;D;2,08;3,68;4,1;2;3,54;3,87;2,09;3,8;4,39;1,97;3,61;3,9
86;23/10/2021;Brighton;Man City;0;3;1;4;A;8,5;5;1,46;7,71;4,77;1,42;9,67;5,28;1,57;8,1;4,84;1,41
87;24/10/2021;Brentford;Leicester;0;1;1;2;A;2,75;3,6;2,83;2,63;3,39;2,72;3,05;3,56;2,7;2,78;3,41;2,58
88;24/10/2021;West Ham;Tottenham;0;0;1;0;H;2,48;3,62;3,23;2,35;3,49;3,01;2,4;3,66;3,3;2,29;3,5;3,13
89;24/10/2021;Man United;Liverpool;0;4;0;5;A;3,25;3,81;2,38;3,06;3,66;2,27;3,15;3,93;2,55;2,97;3,59;2,35
90;30/10/2021;Leicester;Arsenal;0;2;0;2;A;2,56;3,6;3;2,47;3,47;2,87;2,69;3,6;2,96;2,5;3,49;2,8
91;30/10/2021;Burnley;Brentford;3;0;3;1;H;2,73;3,42;2,86;2,66;3,24;2,78;2,74;3,35;3;2,64;3,15;2,88
92;30/10/2021;Liverpool;Brighton;2;1;2;2;D;1,27;6,92;13,5;1,24;6,49;12,11;1,32;6,75;12;1,28;6,06;10,42
93;30/10/2021;Man City;Crystal Palace;0;1;0;2;A;1,19;8,94;22,14;1,16;8,13;18,61;1,17;9,75;23;1,14;8,64;19,87
94;30/10/2021;Newcastle;Chelsea;0;0;0;3;A;9,5;5,15;1,42;8,63;4,91;1,38;8,64;4,91;1,48;7,84;4,54;1,44
95;30/10/2021;Watford;Southampton;0;1;0;1;A;3,25;3,5;2,45;3,12;3,37;2,35;3,62;3,58;2,36;3,23;3,44;2,26
96;30/10/2021;Tottenham;Man United;0;1;0;3;A;3,05;3,74;2,47;2,93;3,57;2,37;3,34;3,75;2,38;3,12;3,58;2,26
97;31/10/2021;Norwich;Leeds;0;0;1;2;A;3,6;3,75;2,17;3,44;3,6;2,11;3,83;3,85;2,1;3,59;3,66;2,03
98;31/10/2021;Aston Villa;West Ham;1;2;1;4;A;2,95;3,68;2,57;2,83;3,5;2,48;3,22;3,69;2,55;2,96;3,48;2,39
99;01/11/2021;Wolves;Everton;2;0;2;1;H;2,32;3,4;3,6;2,24;3,28;3,39;2,39;3,49;3,8;2,24;3,17;3,56
100;05/11/2021;Southampton;Aston Villa;1;0;1;0;H;2,08;3,82;3,8;2,02;3,66;3,68;2,18;3,85;4;2,06;3,64;3,56
101;06/11/2021;Man United;Man City;0;2;0;2;A;4,95;4,3;1,76;4,69;4,09;1,72;5;4,59;1,76;4,65;4,14;1,71
102;06/11/2021;Brentford;Norwich;0;2;1;2;A;1,68;4,05;6,06;1,63;3,92;5,8;1,73;4,2;6,13;1,64;3,97;5,53
103;06/11/2021;Chelsea;Burnley;1;0;1;1;D;1,29;6,23;14;1,26;5,94;12,51;1,31;6,21;14;1,27;5,67;12,59
104;06/11/2021;Crystal Palace;Wolves;0;0;2;0;H;2,62;3,33;3,21;2,5;3,15;3,08;2,42;3,2;3,6;2,34;3,1;3,42
105;06/11/2021;Brighton;Newcastle;1;0;1;1;D;1,68;4,18;6,04;1,62;3,99;5,76;1,65;4,63;6,25;1,59;4,13;5,84
106;07/11/2021;Arsenal;Watford;0;0;1;0;H;1,43;5,25;9;1,39;4,9;8,25;1,5;5,01;8,06;1,45;4,76;7,13
107;07/11/2021;Everton;Tottenham;0;0;0;0;D;3,2;3,54;2,52;3,06;3,28;2,42;3,77;3,37;2,34;3,39;3,28;2,26
108;07/11/2021;Leeds;Leicester;1;1;1;1;D;2,9;3,78;2,6;2,76;3,56;2,5;2,88;3,57;2,8;2,64;3,44;2,68
109;07/11/2021;West Ham;Liverpool;1;1;3;2;H;5;4,25;1,77;4,59;4,11;1,72;4,75;4,43;1,78;4,45;4,21;1,73
110;20/11/2021;Leicester;Chelsea;0;2;0;3;A;5;3,86;1,84;4,74;3,72;1,78;5,12;3,86;1,81;4,91;3,71;1,76
111;20/11/2021;Aston Villa;Brighton;0;0;2;0;H;2,52;3,47;3,15;2,43;3,31;3,04;2,58;3,4;3,23;2,48;3,29;3
112;20/11/2021;Burnley;Crystal Palace;2;3;3;3;D;2,9;3,33;2,83;2,77;3,23;2,7;2,95;3,54;2,8;2,85;3,18;2,68
113;20/11/2021;Newcastle;Brentford;2;2;3;3;D;2,75;3,58;2,82;2,64;3,37;2,72;2,7;3,78;3,07;2,48;3,39;2,92
114;20/11/2021;Norwich;Southampton;1;1;2;1;H;3,75;3,6;2,2;3,63;3,46;2,1;3,91;3,62;2,21;3,54;3,45;2,14
115;20/11/2021;Watford;Man United;2;0;4;1;H;6,7;4,9;1,55;6,22;4,65;1,5;7,23;5;1,55;6,42;4,62;1,5
116;20/11/2021;Wolves;West Ham;0;0;1;0;H;3,18;3,38;2,56;3,02;3,27;2,47;3,4;3,38;2,5;3,14;3,27;2,41
117;20/11/2021;Liverpool;Arsenal;1;0;4;0;H;1,53;5;7,16;1,48;4,77;6,38;1,57;5,2;6,55;1,52;4,7;5,93
118;21/11/2021;Man City;Everton;1;0;3;0;H;1,22;8,3;19;1,18;7,56;15,95;1,23;8,1;18,25;1,21;7,11;14,63
119;21/11/2021;Tottenham;Leeds;0;1;2;1;H;1,8;4,3;4,75;1,73;4,07;4,56;1,67;4,3;6,59;1,61;4,06;5,73
120;27/11/2021;Arsenal;Newcastle;0;0;2;0;H;1,52;5;7;1,47;4,77;6,61;1,55;4,76;7;1,51;4,54;6,3
121;27/11/2021;Crystal Palace;Aston Villa;0;1;1;2;A;2,32;3,56;3,52;2,24;3,37;3,36;2,4;3,57;3,45;2,32;3,23;3,32
122;27/11/2021;Liverpool;Southampton;3;0;4;0;H;1,33;6,37;11;1,29;5,99;9,78;1,3;7,1;13;1,25;6,5;11,34
123;27/11/2021;Norwich;Wolves;0;0;0;0;D;3,65;3,5;2,26;3,54;3,35;2,17;3,85;3,43;2,29;3,57;3,29;2,19
124;27/11/2021;Brighton;Leeds;0;0;0;0;D;2,18;3,5;3,92;2,11;3,41;3,67;2,26;3,62;3,7;2,19;3,31;3,54
125;28/11/2021;Brentford;Everton;1;0;1;0;H;2,34;3,4;3,6;2,25;3,27;3,4;2,31;3,35;3,79;2,25;3,21;3,52
126;28/11/2021;Leicester;Watford;3;1;4;2;H;1,68;4,38;5,73;1,63;4,15;5,26;1,76;4,1;5,81;1,7;3,9;5,1
127;28/11/2021;Man City;West Ham;1;0;2;1;H;1,34;6,25;11;1,3;5,82;10,01;1,31;6,9;12;1,27;6,21;10,75
128;28/11/2021;Chelsea;Man United;0;0;1;1;D;1,65;4,31;6,2;1,61;4,12;5,67;1,59;4,4;7,16;1,56;4,21;6,21
129;30/11/2021;Newcastle;Norwich;0;0;1;1;D;2,06;3,75;3,98;1,99;3,63;3,82;2,21;3,63;4,12;2,11;3,51;3,56
